,symbol,price,price_change,price_percent_change
0,MLGO,13.99,11.47,455.16
1,LXEO,4.09,1.38,50.92
2,DOMH,5.49,1.36,32.93
3,TNXP,30.51,7.48,32.48
4,LUNR,9.22,2.13,30.04
5,MRT,3.61,0.74,25.78
6,CYRX,7.1,1.41,24.78
7,UPC,4.39,0.87,24.57
8,CDXS,3.07,0.52,20.39
9,CHCI,9.27,1.53,19.77
10,BBAI,3.54,0.57,19.19
11,ZCAR,6.25,1.0,19.05
12,ZYBT,5.8,0.92,18.85
13,HFFG,4.16,0.66,18.66
14,QUBT,8.75,1.36,18.4
15,YSG,5.54,0.86,18.38
16,CLSK,8.79,1.35,18.15
17,MARA,14.61,2.23,18.01
18,IONQ,26.12,3.86,17.34
19,AZEK,48.56,7.17,17.32
20,KUKE,3.33,0.48,16.84
21,BTDR,11.65,1.64,16.38
22,BKKT,13.83,1.9,15.93
23,CLPR,4.29,0.57,15.32
24,CLIK,3.18,0.42,15.22
25,RR,2.6,0.34,15.04
26,TEM,59.0,7.65,14.9
27,ATER,2.43,0.31,14.62
28,BIRD,5.89,0.75,14.59
29,NXGL,3.09,0.39,14.44
30,VSAT,11.19,1.41,14.42
31,ASTS,29.3,3.59,13.96
32,DERM,6.54,0.8,13.94
33,OKLO,30.91,3.75,13.81
34,KSS,9.4,1.12,13.53
35,AEVA,4.74,0.55,13.13
36,APLD,7.99,0.92,13.01
37,GRO,3.5,0.4,12.9
38,MPTI,42.09,4.7,12.57
39,ANNX,2.7,0.3,12.5
40,W,37.86,4.2,12.48
41,LAKE,21.09,2.33,12.42
42,COHR,76.71,8.47,12.41
43,KOSS,5.82,0.63,12.14
44,KRUS,61.77,6.64,12.04
45,OPFI,10.93,1.17,11.99
46,TSLA,278.39,29.68,11.93
47,CVNA,213.63,22.68,11.88
48,AISP,4.53,0.48,11.85
49,FIGS,4.84,0.51,11.78
50,RIME,2.47,0.26,11.76
51,ZBIO,9.31,0.98,11.76
52,MKFG,3.28,0.34,11.56
53,NEUE,6.25,0.64,11.41
54,SERV,7.79,0.78,11.13
55,BOF,2.3,0.23,11.11
56,ORGO,5.42,0.54,11.07
57,ZJK,5.22,0.52,11.06
58,ROOT,177.69,17.43,10.88
59,GOGO,8.22,0.8,10.78
60,LITE,73.63,7.02,10.54
61,MSTR,335.72,31.72,10.43
62,RCAT,5.98,0.56,10.33
63,INOD,46.12,4.3,10.28
64,SHMD,3.25,0.3,10.17
65,PLTK,4.41,0.4,9.98
66,GLTO,6.7,0.6,9.84
67,MOB,2.46,0.22,9.82
68,TDUP,2.81,0.25,9.77
69,RIOT,8.72,0.77,9.69
70,CIFR,3.2,0.28,9.59
71,SHOO,27.43,2.4,9.59
72,NIU,4.24,0.37,9.56
73,ANAB,18.71,1.63,9.54
74,SYTA,2.32,0.2,9.43
75,ARQQ,19.4,1.67,9.42
76,PGY,12.44,1.07,9.41
77,CORZ,9.31,0.8,9.4
78,NFE,12.22,1.05,9.4
79,LE,11.21,0.96,9.37
80,MNTS,2.22,0.19,9.36
81,SMLR,42.88,3.66,9.33
82,SERA,4.14,0.35,9.23
83,CYN,4.98,0.42,9.21
84,NNE,32.93,2.74,9.08
85,URBN,53.58,4.45,9.06
86,TIL,19.51,1.62,9.06
87,AAOI,22.28,1.85,9.06
88,CRDO,50.53,4.19,9.04
89,MATV,6.64,0.55,9.03
90,HOOD,48.36,4.0,9.02
91,LFMD,6.1,0.5,8.93
92,QXO,13.8,1.13,8.92
93,NPWR,3.2,0.26,8.84
94,AMSC,21.59,1.75,8.82
95,BHVN,31.04,2.5,8.76
96,DPRO,3.24,0.26,8.72
97,TKNO,6.37,0.51,8.7
98,HEPS,3.04,0.24,8.57
99,ZETA,15.66,1.23,8.52
