,symbol,price,price_change,price_percent_change
0,RDFN,9.78,3.96,67.96
1,MLYS,17.52,7.0,66.54
2,CKPT,4.04,1.57,63.77
3,PTGX,56.32,17.96,46.84
4,LZMH,17.51,5.47,45.43
5,TRVI,5.95,1.65,38.35
6,DWTX,8.5,1.9,28.79
7,PTHL,2.84,0.54,23.48
8,SUUN,4.5,0.81,21.95
9,SKBL,10.57,1.9,21.91
10,KPTI,8.06,1.17,16.98
11,VRN,5.65,0.74,15.07
12,ELVA,2.54,0.3,13.4
13,WLGS,4.3,0.5,13.16
14,PDEX,44.85,4.77,11.9
15,NVCT,7.73,0.8,11.54
16,STAA,20.44,2.1,11.48
17,MDCX,3.4,0.35,11.48
18,IH,2.29,0.21,10.1
19,KLG,21.9,1.85,9.23
20,PLAY,20.96,1.67,8.66
21,ELF,76.79,6.11,8.64
22,CURR,2.44,0.19,8.44
23,KTOS,29.58,2.29,8.41
24,ENPH,66.6,4.97,8.06
25,HOFT,13.4,0.99,8.02
26,TSVT,2.87,0.21,7.89
27,CRI,43.9,3.17,7.79
28,TTEC,3.82,0.28,7.77
29,MWA,26.99,1.94,7.74
30,BECN,119.34,8.23,7.41
31,TNXP,13.98,0.96,7.37
32,ODP,17.78,1.18,7.07
33,DBVT,4.46,0.28,6.81
34,ARRY,6.56,0.41,6.75
35,BLMN,9.38,0.59,6.66
36,AAP,37.63,2.26,6.39
37,ARQ,5.18,0.3,6.15
38,AIRS,3.6,0.2,6.04
39,AMPY,4.02,0.23,6.01
40,SPRU,2.67,0.15,5.94
41,CBRL,45.28,2.46,5.73
42,CNR,71.09,3.77,5.6
43,AVXL,9.15,0.48,5.54
44,EMBC,13.45,0.7,5.49
45,KOD,3.81,0.19,5.25
46,BDRX,3.21,0.16,5.25
47,TTC,77.08,3.83,5.22
48,NSP,95.03,4.67,5.17
49,BGS,8.04,0.39,5.1
50,REGN,743.11,35.6,5.03
51,ACDC,7.4,0.35,4.96
52,SCI,84.84,3.98,4.92
53,RUN,7.51,0.35,4.89
54,MRNA,37.35,1.74,4.89
55,CMTG,3.22,0.15,4.89
56,HOG,27.34,1.25,4.77
57,CBT,88.93,4.05,4.77
58,BLTE,66.2,3.01,4.76
59,DFH,26.58,1.21,4.75
60,MASS,2.89,0.13,4.71
61,WSC,29.39,1.32,4.69
62,EVH,9.4,0.41,4.62
63,COTY,6.12,0.27,4.62
64,ADM,51.72,2.27,4.6
65,RMD,243.1,10.66,4.58
66,MEC,15.02,0.66,4.56
67,CTSH,86.99,3.76,4.52
68,ETSY,48.89,2.09,4.47
69,MED,15.08,0.64,4.43
70,EQNR,24.19,1.02,4.4
71,HCA,344.68,14.53,4.4
72,YALA,4.18,0.17,4.36
73,AES,11.74,0.49,4.36
74,SBH,9.7,0.4,4.24
75,MKC,86.08,3.46,4.19
76,MEDP,346.47,13.66,4.1
77,BF.B,38.44,1.5,4.08
78,WES,40.5,1.58,4.06
79,SGHT,2.46,0.1,4.03
80,TSCO,59.15,2.26,3.97
81,HAIN,4.73,0.18,3.96
82,UAA,7.36,0.28,3.95
83,PAYC,220.98,8.33,3.92
84,OCFT,6.65,0.25,3.9
85,SHLS,2.93,0.11,3.9
86,ICFI,87.89,3.24,3.83
87,XIFR,9.09,0.33,3.77
88,PBT,10.46,0.38,3.72
89,FIZZ,42.39,1.52,3.72
90,PERI,8.49,0.3,3.66
91,ATNI,20.61,0.72,3.62
92,NX,20.95,0.73,3.61
93,ACCO,4.88,0.17,3.61
94,COLM,86.98,3.02,3.6
95,NOG,28.48,0.98,3.58
96,CPB,43.3,1.49,3.56
97,CWEN.A,26.83,0.91,3.51
98,NOC,503.45,16.93,3.48
99,BIIB,155.6,5.22,3.47
